"","HOMERUN"
"22.1",-0.0137812038742274
"22.5",-0.0013095533131438
"22.8",-0.0701464398897404
"23.1",-0.0328469551376108
"23.4",-0.0840707993431555
"23.5",-0.191381931359563
"23.6",-0.0233788239507106
"23.7",0.0755795197106692
"23.8",-0.0335642831421869
"24",0.017275251580687
"24.1",-0.0550193127309694
"24.2",0.0845508909654768
"24.3",0.107381091473137
"24.4",0.0236138947292236
"24.6",-0.114896177648592
"24.7",-0.0535438287575255
"24.8",-0.00630185831166879
"24.9",-0.0518653117361396
"25",-0.0701026244009685
"25.1",-0.125042225171654
"25.2",-0.00309322717149933
"25.3",0.0803031835338402
"25.4",-0.0529442701843308
"25.5",-0.0124327176056657
"25.6",-0.151831825416306
"25.7",-0.105459217853514
"25.8",-0.0385884221236108
"25.9",0.00715237288586846
"26",-0.129804212407053
"26.1",-0.0891501448902973
"26.2",-0.00770380426833351
"26.3",-0.108186309717827
"26.4",-0.00775420060745935
"26.5",0.061084771170851
"26.6",0.100503517740584
"26.7",0.0381128825022451
"26.8",0.140135978026786
"26.9",0.0183807746822444
"27",0.0845160878612303
"27.1",0.0463652736047915
"27.2",0.0807325139215453
"27.3",-0.0786082680233656
"27.4",0.189498105156155
"27.5",0.039523067480564
"27.6",0.147216926214786
"27.7",0.0154100611694862
"27.8",0.27761749629923
"27.9",0.144714464694046
"28",0.0327352597652406
"28.1",0.0245100914350361
"28.2",-0.00385449829810063
"28.3",-0.0476314540728174
"28.4",0.0459953969999944
"28.5",-0.0567499713308776
"28.6",0.0183822492166362
"28.7",0.161897232505702
"28.8",0.0960652214325959
"28.9",0.122444996902571
"29",-0.00597984533134068
"29.1",0.0610924030545686
"29.2",-0.0653174424910742
"29.3",0.034835098999074
"29.4",-0.0174371364847444
"29.5",-0.235957725394681
"29.6",-0.110985258613955
"30",-0.0656511656793409
"30.4",0.0145333028708014
